Date,Price
15-06-2015,59.53
16-06-2015,60.01
17-06-2015,59.89
18-06-2015,60.41
19-06-2015,59.62
22-06-2015,60.01
23-06-2015,61.05
24-06-2015,60.01
25-06-2015,59.59
26-06-2015,59.41
29-06-2015,58.34
30-06-2015,59.48
01-07-2015,56.94
02-07-2015,56.93
06-07-2015,52.48
07-07-2015,52.33
08-07-2015,51.61
09-07-2015,52.76
10-07-2015,52.74
13-07-2015,52.19
14-07-2015,53.05
15-07-2015,51.4
16-07-2015,50.9
17-07-2015,50.88
20-07-2015,50.11
21-07-2015,50.59
22-07-2015,49.27
23-07-2015,48.11
24-07-2015,47.98
27-07-2015,47.17
28-07-2015,47.97
29-07-2015,48.77
30-07-2015,48.53
31-07-2015,47.11
03-08-2015,45.25
04-08-2015,45.75
05-08-2015,45.13
06-08-2015,44.69
07-08-2015,43.87
10-08-2015,44.94
11-08-2015,43.11
12-08-2015,43.22
13-08-2015,42.27
14-08-2015,42.45
17-08-2015,41.93
18-08-2015,42.58
19-08-2015,40.75
20-08-2015,41
21-08-2015,40.45
24-08-2015,38.22
25-08-2015,39.15
26-08-2015,38.5
27-08-2015,42.47
28-08-2015,45.29
31-08-2015,49.2
01-09-2015,45.38
02-09-2015,46.3
03-09-2015,46.75
04-09-2015,46.02
08-09-2015,45.92
09-09-2015,44.13
10-09-2015,45.85
11-09-2015,44.75
14-09-2015,44.07
15-09-2015,44.58
16-09-2015,47.12
17-09-2015,46.93
18-09-2015,44.71
21-09-2015,46.67
22-09-2015,46.17
23-09-2015,44.53
24-09-2015,44.94
25-09-2015,45.55
28-09-2015,44.4
29-09-2015,45.24
30-09-2015,45.06
01-10-2015,44.75
02-10-2015,45.54
05-10-2015,46.28
06-10-2015,48.53
07-10-2015,47.86
08-10-2015,49.46
09-10-2015,49.67
12-10-2015,47.09
13-10-2015,46.7
14-10-2015,46.63
15-10-2015,46.38
16-10-2015,47.3
19-10-2015,45.91
20-10-2015,45.84
21-10-2015,45.22
22-10-2015,44.9
23-10-2015,43.91
26-10-2015,43.19
27-10-2015,43.21
28-10-2015,45.93
29-10-2015,46.02
30-10-2015,46.6
02-11-2015,46.12
03-11-2015,47.88
04-11-2015,46.32
05-11-2015,45.27
06-11-2015,44.32
09-11-2015,43.87
10-11-2015,44.23
11-11-2015,42.95
12-11-2015,41.74
13-11-2015,40.69
16-11-2015,41.68
17-11-2015,40.73
18-11-2015,40.75
19-11-2015,40.55
20-11-2015,39.39
23-11-2015,39.27
24-11-2015,40.89
25-11-2015,41.22
27-11-2015,40.57
30-11-2015,40.43
01-12-2015,40.58
02-12-2015,39.93
03-12-2015,41.08
04-12-2015,40
07-12-2015,37.64
08-12-2015,37.46
09-12-2015,37.16
10-12-2015,36.76
11-12-2015,35.65
14-12-2015,36.31
15-12-2015,37.32
16-12-2015,35.55
17-12-2015,34.98
18-12-2015,34.72
21-12-2015,34.55
22-12-2015,36.12
23-12-2015,36.76
24-12-2015,37.62
28-12-2015,36.36
29-12-2015,37.88
30-12-2015,36.59
31-12-2015,37.13
04-01-2016,36.81
05-01-2016,35.97
06-01-2016,33.97
07-01-2016,33.29
08-01-2016,33.2
11-01-2016,31.42
12-01-2016,30.42
13-01-2016,30.42
14-01-2016,31.22
15-01-2016,29.45
19-01-2016,28.47
20-01-2016,26.68
21-01-2016,29.55
22-01-2016,32.07
25-01-2016,30.31
26-01-2016,29.54
27-01-2016,32.32
28-01-2016,33.21
29-01-2016,33.66
01-02-2016,31.62
02-02-2016,29.9
03-02-2016,32.29
04-02-2016,31.63
05-02-2016,30.86
08-02-2016,29.71
09-02-2016,27.96
10-02-2016,27.54
11-02-2016,26.19
12-02-2016,29.32
16-02-2016,29.05
17-02-2016,30.68
18-02-2016,30.77
19-02-2016,29.59
22-02-2016,31.37
23-02-2016,31.84
24-02-2016,30.35
25-02-2016,31.4
26-02-2016,31.65
29-02-2016,32.74
01-03-2016,34.39
02-03-2016,34.57
03-03-2016,34.56
04-03-2016,35.91
07-03-2016,37.9
08-03-2016,36.67
09-03-2016,37.62
10-03-2016,37.77
11-03-2016,38.51
14-03-2016,37.2
15-03-2016,36.32
16-03-2016,38.43
17-03-2016,40.17
18-03-2016,39.47
21-03-2016,39.91
22-03-2016,41.45
23-03-2016,38.28
24-03-2016,38.14
28-03-2016,37.99
29-03-2016,36.91
30-03-2016,36.91
31-03-2016,36.94
01-04-2016,35.36
04-04-2016,34.3
05-04-2016,34.52
06-04-2016,37.74
07-04-2016,37.3
08-04-2016,39.74
11-04-2016,40.46
12-04-2016,42.12
13-04-2016,41.7
14-04-2016,41.45
15-04-2016,40.4
18-04-2016,39.74
19-04-2016,40.88
20-04-2016,42.72
21-04-2016,43.18
22-04-2016,42.76
25-04-2016,41.67
26-04-2016,42.52
27-04-2016,45.29
28-04-2016,46.03
29-04-2016,45.98
02-05-2016,44.75
03-05-2016,43.65
04-05-2016,43.77
05-05-2016,44.33
06-05-2016,44.58
09-05-2016,43.45
10-05-2016,44.68
11-05-2016,46.21
12-05-2016,46.64
13-05-2016,46.22
16-05-2016,47.72
17-05-2016,48.29
18-05-2016,48.12
19-05-2016,48.16
20-05-2016,47.67
23-05-2016,48.12
24-05-2016,48.04
25-05-2016,49.1
26-05-2016,49
27-05-2016,49.36
31-05-2016,49.1
01-06-2016,49.07
02-06-2016,49.14
03-06-2016,48.69
